Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
0,67,male,2,own,,little,1169,6,radio/TV,Good
1,22,female,2,own,little,moderate,5951,48,radio/TV,Bad
2,49,male,1,own,little,,2096,12,education,Good
3,45,male,2,free,little,little,7882,42,furniture/equipment,Good
4,53,male,2,free,little,little,4870,24,car,Good
5,35,male,1,free,,,9055,36,education,Bad
6,53,male,2,own,quite rich,,2835,24,furniture/equipment,Good
7,35,male,3,rent,little,moderate,6948,36,car,Good
8,61,male,1,own,rich,,3059,12,radio/TV,Good
9,28,male,3,own,little,moderate,5234,30,car,Bad
10,25,female,2,rent,little,moderate,1295,12,car,Good
11,24,female,2,rent,little,little,4308,48,business,Good
12,22,female,2,own,little,moderate,1567,12,radio/TV,Good
13,60,male,1,own,little,little,1199,24,car,Good
14,28,female,2,rent,little,little,1403,15,car,Bad
15,32,female,1,own,moderate,little,1282,24,radio/TV,Good
16,53,male,2,own,,,2424,24,radio/TV,Bad
17,25,male,2,own,,little,8072,30,business,Bad
18,44,female,3,free,little,moderate,12579,24,car,Bad
19,31,male,2,own,quite rich,,3430,24,radio/TV,Good
20,48,male,2,own,little,,2134,9,car,Bad
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,Good
22,48,male,1,rent,little,little,2241,10,car,Bad
23,44,male,2,own,moderate,moderate,1804,12,car,Bad
24,26,male,2,own,,,2069,10,furniture/equipment,Bad
25,36,male,1,own,little,little,1374,6,furniture/equipment,Bad
26,39,male,1,own,little,,426,6,radio/TV,Bad
27,42,female,2,rent,rich,rich,409,12,radio/TV,Bad
28,34,male,2,own,little,moderate,2415,7,radio/TV,Bad
29,63,male,2,own,little,little,6836,60,business,Bad
30,36,male,2,own,rich,moderate,1913,18,business,Good
31,27,male,2,own,little,little,4020,24,furniture/equipment,Good
32,30,male,2,own,moderate,moderate,5866,18,car,Bad
33,57,male,1,rent,,,1264,12,business,Bad
34,33,female,3,own,little,rich,1474,12,furniture/equipment,Bad
35,25,male,1,own,little,moderate,4746,45,radio/TV,Good
36,31,male,2,free,little,,6110,48,education,Bad
37,37,male,2,own,little,rich,2100,18,radio/TV,Good
38,37,male,2,own,little,rich,1225,10,domestic appliances,Good
39,24,male,2,own,little,moderate,458,9,radio/TV,Good
40,30,male,3,own,quite rich,,2333,30,radio/TV,Good
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,Good
42,44,male,1,own,little,moderate,6204,18,repairs,Bad
43,24,male,2,rent,moderate,little,6187,30,car,Bad
44,58,female,1,free,little,little,6143,48,car,Bad
45,35,female,3,own,little,,1393,11,car,Bad
46,39,male,2,own,quite rich,,2299,36,radio/TV,Bad
47,23,female,0,rent,quite rich,little,1352,6,car,Good
48,39,male,1,own,little,,7228,11,car,Bad
49,28,female,2,own,moderate,,2073,12,radio/TV,Bad
50,29,male,1,own,,moderate,2333,24,furniture/equipment,Good
51,30,male,3,own,little,moderate,5965,27,car,Bad
52,25,male,2,own,little,,1262,12,radio/TV,Good
53,31,male,2,own,,,3378,18,car,Bad
54,57,male,2,free,little,moderate,2225,36,car,Good
55,26,male,1,own,,,783,6,car,Bad
56,52,male,3,own,,moderate,6468,12,radio/TV,Bad
57,31,female,2,own,little,,9566,36,radio/TV,Good
58,23,female,3,own,little,rich,1961,18,car,Good
59,23,female,1,rent,little,little,6229,36,furniture/equipment,Good
60,27,male,2,own,little,moderate,1391,9,business,Good
61,50,male,2,own,,moderate,1537,15,radio/TV,Good
62,61,male,3,free,little,moderate,1953,36,business,Good
63,25,male,2,own,little,moderate,14421,48,business,Good
64,26,female,2,own,little,,3181,24,radio/TV,Good
65,48,male,2,own,,,5190,27,repairs,Bad
66,29,female,2,own,little,,2171,12,radio/TV,Bad
67,22,male,2,own,rich,moderate,1007,12,car,Good
68,37,male,2,free,little,,1819,36,education,Bad
69,25,female,2,own,,,2394,36,radio/TV,Bad
70,30,female,2,own,little,,8133,36,car,Bad
71,46,male,1,rent,,,730,7,radio/TV,Bad
72,51,male,3,free,little,little,1164,8,vacation/others,Good
73,41,female,1,own,little,moderate,5954,42,business,Bad
74,40,male,3,own,,little,1977,36,education,Good
75,66,male,3,free,little,little,1526,12,car,Bad
76,34,male,2,own,little,little,3965,42,radio/TV,Bad
77,51,male,2,own,little,moderate,4771,11,radio/TV,Bad
78,39,male,1,own,,,9436,54,car,Good
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,Bad
80,44,female,2,own,,,5943,24,radio/TV,Good
81,47,male,2,own,quite rich,,1213,15,radio/TV,Bad
82,24,female,1,rent,moderate,,1568,18,business,Good
83,58,female,1,own,little,little,1755,24,vacation/others,Bad
84,52,male,1,own,little,little,2315,10,radio/TV,Good
85,29,female,3,own,little,,1412,12,business,Good
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,Bad
87,47,male,2,free,moderate,moderate,12612,36,education,Good
88,30,male,3,own,moderate,little,2249,18,car,Bad
89,28,male,2,own,little,little,1108,12,repairs,Bad
90,56,male,2,own,little,,618,12,radio/TV,Bad
91,54,male,2,own,little,little,1409,12,car,Bad
92,33,female,1,own,,,797,12,radio/TV,Bad
93,20,male,2,rent,,rich,3617,24,furniture/equipment,Bad
94,54,male,2,own,rich,moderate,1318,12,car,Bad
